country, quarter, unit, value$
"All reporting economies", "2014-Q3", "Percentage of GDP", 78.9
"All reporting economies", "2014-Q4", "Percentage of GDP", 78.8
"All reporting economies", "2015-Q1", "Percentage of GDP", 78.2
"All reporting economies", "2015-Q2", "Percentage of GDP", 79.4
"All reporting economies", "2015-Q3", "Percentage of GDP", 80.9
"All reporting economies", "2015-Q4", "Percentage of GDP", 82.3
"All reporting economies", "2016-Q1", "Percentage of GDP", 87.5
"All reporting economies", "2016-Q2", "Percentage of GDP", 89.6
"All reporting economies", "2016-Q3", "Percentage of GDP", 89.6
"All reporting economies", "2001-Q4", "Percentage of GDP (using PPP exchange rates)", 59.1
"All reporting economies", "2002-Q1", "Percentage of GDP (using PPP exchange rates)", 58.7
"All reporting economies", "2002-Q2", "Percentage of GDP (using PPP exchange rates)", 60.1
"All reporting economies", "2002-Q3", "Percentage of GDP (using PPP exchange rates)", 61.5
"All reporting economies", "2002-Q4", "Percentage of GDP (using PPP exchange rates)", 61.3
"All reporting economies", "2003-Q1", "Percentage of GDP (using PPP exchange rates)", 61.2
"All reporting economies", "2003-Q2", "Percentage of GDP (using PPP exchange rates)", 61.7
"All reporting economies", "2003-Q3", "Percentage of GDP (using PPP exchange rates)", 61.4
"All reporting economies", "2003-Q4", "Percentage of GDP (using PPP exchange rates)", 61.1
"All reporting economies", "2004-Q1", "Percentage of GDP (using PPP exchange rates)", 63.2
"All reporting economies", "2004-Q2", "Percentage of GDP (using PPP exchange rates)", 62.5
"All reporting economies", "2004-Q3", "Percentage of GDP (using PPP exchange rates)", 62.3
"All reporting economies", "2004-Q4", "Percentage of GDP (using PPP exchange rates)", 61.9
"All reporting economies", "2005-Q1", "Percentage of GDP (using PPP exchange rates)", 61.7
"All reporting economies", "2005-Q2", "Percentage of GDP (using PPP exchange rates)", 61.5
"All reporting economies", "2005-Q3", "Percentage of GDP (using PPP exchange rates)", 60.3
"All reporting economies", "2005-Q4", "Percentage of GDP (using PPP exchange rates)", 59.5
"All reporting economies", "2006-Q1", "Percentage of GDP (using PPP exchange rates)", 58.5
"All reporting economies", "2006-Q2", "Percentage of GDP (using PPP exchange rates)", 57.3
"All reporting economies", "2006-Q3", "Percentage of GDP (using PPP exchange rates)", 57.0
"All reporting economies", "2006-Q4", "Percentage of GDP (using PPP exchange rates)", 56.2
"All reporting economies", "2007-Q1", "Percentage of GDP (using PPP exchange rates)", 55.8
"All reporting economies", "2007-Q2", "Percentage of GDP (using PPP exchange rates)", 54.8
"All reporting economies", "2007-Q3", "Percentage of GDP (using PPP exchange rates)", 54.8
"All reporting economies", "2007-Q4", "Percentage of GDP (using PPP exchange rates)", 54.7
"All reporting economies", "2008-Q1", "Percentage of GDP (using PPP exchange rates)", 54.4
"All reporting economies", "2008-Q2", "Percentage of GDP (using PPP exchange rates)", 53.4
"All reporting economies", "2008-Q3", "Percentage of GDP (using PPP exchange rates)", 54.0
"All reporting economies", "2008-Q4", "Percentage of GDP (using PPP exchange rates)", 57.5
"All reporting economies", "2009-Q1", "Percentage of GDP (using PPP exchange rates)", 59.3
"All reporting economies", "2009-Q2", "Percentage of GDP (using PPP exchange rates)", 61.2
"All reporting economies", "2009-Q3", "Percentage of GDP (using PPP exchange rates)", 63.6
"All reporting economies", "2009-Q4", "Percentage of GDP (using PPP exchange rates)", 64.4
"All reporting economies", "2010-Q1", "Percentage of GDP (using PPP exchange rates)", 64.9
"All reporting economies", "2010-Q2", "Percentage of GDP (using PPP exchange rates)", 66.3
"All reporting economies", "2010-Q3", "Percentage of GDP (using PPP exchange rates)", 67.1
"All reporting economies", "2010-Q4", "Percentage of GDP (using PPP exchange rates)", 66.9
"All reporting economies", "2011-Q1", "Percentage of GDP (using PPP exchange rates)", 66.3
"All reporting economies", "2011-Q2", "Percentage of GDP (using PPP exchange rates)", 66.7
"All reporting economies", "2011-Q3", "Percentage of GDP (using PPP exchange rates)", 68.3
"All reporting economies", "2011-Q4", "Percentage of GDP (using PPP exchange rates)", 68.9
"All reporting economies", "2012-Q1", "Percentage of GDP (using PPP exchange rates)", 69.3
"All reporting economies", "2012-Q2", "Percentage of GDP (using PPP exchange rates)", 70.3
"All reporting economies", "2012-Q3", "Percentage of GDP (using PPP exchange rates)", 70.7
"All reporting economies", "2012-Q4", "Percentage of GDP (using PPP exchange rates)", 71.4
"All reporting economies", "2013-Q1", "Percentage of GDP (using PPP exchange rates)", 71.9
"All reporting economies", "2013-Q2", "Percentage of GDP (using PPP exchange rates)", 71.1
"All reporting economies", "2013-Q3", "Percentage of GDP (using PPP exchange rates)", 70.9
"All reporting economies", "2013-Q4", "Percentage of GDP (using PPP exchange rates)", 71.3
"All reporting economies", "2014-Q1", "Percentage of GDP (using PPP exchange rates)", 71.8
"All reporting economies", "2014-Q2", "Percentage of GDP (using PPP exchange rates)", 72.2
"All reporting economies", "2014-Q3", "Percentage of GDP (using PPP exchange rates)", 72.5
"All reporting economies", "2014-Q4", "Percentage of GDP (using PPP exchange rates)", 73.9
"All reporting economies", "2015-Q1", "Percentage of GDP (using PPP exchange rates)", 74.4
"All reporting economies", "2015-Q2", "Percentage of GDP (using PPP exchange rates)", 73.2
"All reporting economies", "2015-Q3", "Percentage of GDP (using PPP exchange rates)", 73.8
"All reporting economies", "2015-Q4", "Percentage of GDP (using PPP exchange rates)", 74.4
"All reporting economies", "2016-Q1", "Percentage of GDP (using PPP exchange rates)", 75.8
"All reporting economies", "2016-Q2", "Percentage of GDP (using PPP exchange rates)", 76.9
"All reporting economies", "2016-Q3", "Percentage of GDP (using PPP exchange rates)", 76.9
"All reporting economies", "2001-Q4", "US Dollar", 19246.8
"All reporting economies", "2002-Q1", "US Dollar", 19224.9
"All reporting economies", "2002-Q2", "US Dollar", 21063.3
"All reporting economies", "2002-Q3", "US Dollar", 21320.6
"All reporting economies", "2002-Q4", "US Dollar", 22125.8
"All reporting economies", "2003-Q1", "US Dollar", 22905.6
"All reporting economies", "2003-Q2", "US Dollar", 23943.6
"All reporting economies", "2003-Q3", "US Dollar", 24660.9
"All reporting economies", "2003-Q4", "US Dollar", 25818.8
"All reporting economies", "2004-Q1", "US Dollar", 27515.5
"All reporting economies", "2004-Q2", "US Dollar", 27121.1
"All reporting economies", "2004-Q3", "US Dollar", 27653.2
"All reporting economies", "2004-Q4", "US Dollar", 29584.9
"All reporting economies", "2005-Q1", "US Dollar", 29267.6
"All reporting economies", "2005-Q2", "US Dollar", 28944.4
"All reporting economies", "2005-Q3", "US Dollar", 28705.1
"All reporting economies", "2005-Q4", "US Dollar", 28353.0
"All reporting economies", "2006-Q1", "US Dollar", 28650.0
"All reporting economies", "2006-Q2", "US Dollar", 29128.7
"All reporting economies", "2006-Q3", "US Dollar", 29439.4
"All reporting economies", "2006-Q4", "US Dollar", 29938.3
"All reporting economies", "2007-Q1", "US Dollar", 30506.7
"All reporting economies", "2007-Q2", "US Dollar", 30420.6
"All reporting economies", "2007-Q3", "US Dollar", 32023.8
"All reporting economies", "2007-Q4", "US Dollar", 33217.7
"All reporting economies", "2008-Q1", "US Dollar", 35687.9
"All reporting economies", "2008-Q2", "US Dollar", 35096.2
"All reporting economies", "2008-Q3", "US Dollar", 34427.7
"All reporting economies", "2008-Q4", "US Dollar", 36698.1
"All reporting economies", "2009-Q1", "US Dollar", 36446.6
"All reporting economies", "2009-Q2", "US Dollar", 38890.7
"All reporting economies", "2009-Q3", "US Dollar", 41471.3
"All reporting economies", "2009-Q4", "US Dollar", 41875.1
"All reporting economies", "2010-Q1", "US Dollar", 42351.6
"All reporting economies", "2010-Q2", "US Dollar", 43225.4
"All reporting economies", "2010-Q3", "US Dollar", 46751.8
"All reporting economies", "2010-Q4", "US Dollar", 47397.4
"All reporting economies", "2011-Q1", "US Dollar", 48671.8
"All reporting economies", "2011-Q2", "US Dollar", 50428.3
"All reporting economies", "2011-Q3", "US Dollar", 51244.2
"All reporting economies", "2011-Q4", "US Dollar", 51637.1
"All reporting economies", "2012-Q1", "US Dollar", 52806.2
"All reporting economies", "2012-Q2", "US Dollar", 53332.6
"All reporting economies", "2012-Q3", "US Dollar", 55123.7
"All reporting economies", "2012-Q4", "US Dollar", 55115.5
"All reporting economies", "2013-Q1", "US Dollar", 54509.4
"All reporting economies", "2013-Q2", "US Dollar", 53635.2
"All reporting economies", "2013-Q3", "US Dollar", 54634.8
"All reporting economies", "2013-Q4", "US Dollar", 55050.6
"All reporting economies", "2014-Q1", "US Dollar", 56366.6
"All reporting economies", "2014-Q2", "US Dollar", 57684.9
"All reporting economies", "2014-Q3", "US Dollar", 55917.4
"All reporting economies", "2014-Q4", "US Dollar", 55635.9
"All reporting economies", "2015-Q1", "US Dollar", 54563.5
"All reporting economies", "2015-Q2", "US Dollar", 54496.6
"All reporting economies", "2015-Q3", "US Dollar", 54513.7
"All reporting economies", "2015-Q4", "US Dollar", 54812.8
"All reporting economies", "2016-Q1", "US Dollar", 58143.2
"All reporting economies", "2016-Q2", "US Dollar", 59800.3
"All reporting economies", "2016-Q3", "US Dollar", 60356.6
"Advanced economies", "1999-Q1", "Percentage of GDP", 71.9
"Advanced economies", "1999-Q2", "Percentage of GDP", 69.6
"Advanced economies", "1999-Q3", "Percentage of GDP", 72.2
"Advanced economies", "1999-Q4", "Percentage of GDP", 71.4
"Advanced economies", "2000-Q1", "Percentage of GDP", 70.5
"Advanced economies", "2000-Q2", "Percentage of GDP", 69.1
"Advanced economies", "2000-Q3", "Percentage of GDP", 66.4
"Advanced economies", "2000-Q4", "Percentage of GDP", 67.9
"Advanced economies", "2001-Q1", "Percentage of GDP", 66.4
"Advanced economies", "2001-Q2", "Percentage of GDP", 65.8
"Advanced economies", "2001-Q3", "Percentage of GDP", 69.0
"Advanced economies", "2001-Q4", "Percentage of GDP", 66.5
"Advanced economies", "2002-Q1", "Percentage of GDP", 66.5
"Advanced economies", "2002-Q2", "Percentage of GDP", 73.1
"Advanced economies", "2002-Q3", "Percentage of GDP", 72.8
"Advanced economies", "2002-Q4", "Percentage of GDP", 74.0
"Advanced economies", "2003-Q1", "Percentage of GDP", 74.4
"Advanced economies", "2003-Q2", "Percentage of GDP", 75.1
"Advanced economies", "2003-Q3", "Percentage of GDP", 75.6
"Advanced economies", "2003-Q4", "Percentage of GDP", 76.7
"Advanced economies", "2004-Q1", "Percentage of GDP", 79.3
"Advanced economies", "2004-Q2", "Percentage of GDP", 76.4
"Advanced economies", "2004-Q3", "Percentage of GDP", 75.9
"Advanced economies", "2004-Q4", "Percentage of GDP", 79.3
"Advanced economies", "2005-Q1", "Percentage of GDP", 76.8
"Advanced economies", "2005-Q2", "Percentage of GDP", 74.5
"Advanced economies", "2005-Q3", "Percentage of GDP", 72.6
"Advanced economies", "2005-Q4", "Percentage of GDP", 71.6
"Advanced economies", "2006-Q1", "Percentage of GDP", 71.9
"Advanced economies", "2006-Q2", "Percentage of GDP", 72.5
"Advanced economies", "2006-Q3", "Percentage of GDP", 72.0
"Advanced economies", "2006-Q4", "Percentage of GDP", 71.4
"Advanced economies", "2007-Q1", "Percentage of GDP", 71.0
"Advanced economies", "2007-Q2", "Percentage of GDP", 68.7
"Advanced economies", "2007-Q3", "Percentage of GDP", 70.9
"Advanced economies", "2007-Q4", "Percentage of GDP", 71.3
"Advanced economies", "2008-Q1", "Percentage of GDP", 75.1
"Advanced economies", "2008-Q2", "Percentage of GDP", 71.1
"Advanced economies", "2008-Q3", "Percentage of GDP", 69.3
"Advanced economies", "2008-Q4", "Percentage of GDP", 76.2
"Advanced economies", "2009-Q1", "Percentage of GDP", 77.6
"Advanced economies", "2009-Q2", "Percentage of GDP", 84.6
"Advanced economies", "2009-Q3", "Percentage of GDP", 91.4
"Advanced economies", "2009-Q4", "Percentage of GDP", 90.2
"Advanced economies", "2010-Q1", "Percentage of GDP", 89.2
"Advanced economies", "2010-Q2", "Percentage of GDP", 90.5
"Advanced economies", "2010-Q3", "Percentage of GDP", 97.6
"Advanced economies", "2010-Q4", "Percentage of GDP", 97.9
"Advanced economies", "2011-Q1", "Percentage of GDP", 98.8
"Advanced economies", "2011-Q2", "Percentage of GDP", 99.5
"Advanced economies", "2011-Q3", "Percentage of GDP", 100.2
"Advanced economies", "2011-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2012-Q1", "Percentage of GDP", 101.1
"Advanced economies", "2012-Q2", "Percentage of GDP", 103.1
"Advanced economies", "2012-Q3", "Percentage of GDP", 107.0
"Advanced economies", "2012-Q4", "Percentage of GDP", 106.3
"Advanced economies", "2013-Q1", "Percentage of GDP", 104.4
"Advanced economies", "2013-Q2", "Percentage of GDP", 102.6
"Advanced economies", "2013-Q3", "Percentage of GDP", 104.2
"Advanced economies", "2013-Q4", "Percentage of GDP", 104.1
"Advanced economies", "2014-Q1", "Percentage of GDP", 106.0
"Advanced economies", "2014-Q2", "Percentage of GDP", 106.8
"Advanced economies", "2014-Q3", "Percentage of GDP", 102.2
"Advanced economies", "2014-Q4", "Percentage of GDP", 102.1
"Advanced economies", "2015-Q1", "Percentage of GDP", 101.3
"Advanced economies", "2015-Q2", "Percentage of GDP", 102.3
"Advanced economies", "2015-Q3", "Percentage of GDP", 104.8
"Advanced economies", "2015-Q4", "Percentage of GDP", 106.1
"Advanced economies", "2016-Q1", "Percentage of GDP", 112.4
"Advanced economies", "2016-Q2", "Percentage of GDP", 114.8
"Advanced economies", "2016-Q3", "Percentage of GDP", 114.2
"Advanced economies", "1999-Q1", "Percentage of GDP (using PPP exchange rates)", 71.1
"Advanced economies", "1999-Q2", "Percentage of GDP (using PPP exchange rates)", 69.8
"Advanced economies", "1999-Q3", "Percentage of GDP (using PPP exchange rates)", 68.7
"Advanced economies", "1999-Q4", "Percentage of GDP (using PPP exchange rates)", 68.0
"Advanced economies", "2000-Q1", "Percentage of GDP (using PPP exchange rates)", 68.4
"Advanced economies", "2000-Q2", "Percentage of GDP (using PPP exchange rates)", 67.0
"Advanced economies", "2000-Q3", "Percentage of GDP (using PPP exchange rates)", 66.0
"Advanced economies", "2000-Q4", "Percentage of GDP (using PPP exchange rates)", 66.0
"Advanced economies", "2001-Q1", "Percentage of GDP (using PPP exchange rates)", 67.1
"Advanced economies", "2001-Q2", "Percentage of GDP (using PPP exchange rates)", 66.0
"Advanced economies", "2001-Q3", "Percentage of GDP (using PPP exchange rates)", 66.3
"Advanced economies", "2001-Q4", "Percentage of GDP (using PPP exchange rates)", 66.2
"Advanced economies", "2002-Q1", "Percentage of GDP (using PPP exchange rates)", 66.3
"Advanced economies", "2002-Q2", "Percentage of GDP (using PPP exchange rates)", 67.3
"Advanced economies", "2002-Q3", "Percentage of GDP (using PPP exchange rates)", 68.6
"Advanced economies", "2002-Q4", "Percentage of GDP (using PPP exchange rates)", 68.6
"Advanced economies", "2003-Q1", "Percentage of GDP (using PPP exchange rates)", 70.0
"Advanced economies", "2003-Q2", "Percentage of GDP (using PPP exchange rates)", 71.2
"Advanced economies", "2003-Q3", "Percentage of GDP (using PPP exchange rates)", 70.3
"Advanced economies", "2003-Q4", "Percentage of GDP (using PPP exchange rates)", 69.9
"Advanced economies", "2004-Q1", "Percentage of GDP (using PPP exchange rates)", 75.0
"Advanced economies", "2004-Q2", "Percentage of GDP (using PPP exchange rates)", 74.0
"Advanced economies", "2004-Q3", "Percentage of GDP (using PPP exchange rates)", 74.0
"Advanced economies", "2004-Q4", "Percentage of GDP (using PPP exchange rates)", 73.7
"Advanced economies", "2005-Q1", "Percentage of GDP (using PPP exchange rates)", 75.0
"Advanced economies", "2005-Q2", "Percentage of GDP (using PPP exchange rates)", 75.6
"Advanced economies", "2005-Q3", "Percentage of GDP (using PPP exchange rates)", 74.1
"Advanced economies", "2005-Q4", "Percentage of GDP (using PPP exchange rates)", 73.3
"Advanced economies", "2006-Q1", "Percentage of GDP (using PPP exchange rates)", 73.0
"Advanced economies", "2006-Q2", "Percentage of GDP (using PPP exchange rates)", 71.3
"Advanced economies", "2006-Q3", "Percentage of GDP (using PPP exchange rates)", 71.5
"Advanced economies", "2006-Q4", "Percentage of GDP (using PPP exchange rates)", 70.5
"Advanced economies", "2007-Q1", "Percentage of GDP (using PPP exchange rates)", 70.9
"Advanced economies", "2007-Q2", "Percentage of GDP (using PPP exchange rates)", 69.1
"Advanced economies", "2007-Q3", "Percentage of GDP (using PPP exchange rates)", 69.3
"Advanced economies", "2007-Q4", "Percentage of GDP (using PPP exchange rates)", 69.5
"Advanced economies", "2008-Q1", "Percentage of GDP (using PPP exchange rates)", 71.2
"Advanced economies", "2008-Q2", "Percentage of GDP (using PPP exchange rates)", 69.8
"Advanced economies", "2008-Q3", "Percentage of GDP (using PPP exchange rates)", 71.6
"Advanced economies", "2008-Q4", "Percentage of GDP (using PPP exchange rates)", 76.7
"Advanced economies", "2009-Q1", "Percentage of GDP (using PPP exchange rates)", 79.9
"Advanced economies", "2009-Q2", "Percentage of GDP (using PPP exchange rates)", 82.4
"Advanced economies", "2009-Q3", "Percentage of GDP (using PPP exchange rates)", 85.9
"Advanced economies", "2009-Q4", "Percentage of GDP (using PPP exchange rates)", 87.4
"Advanced economies", "2010-Q1", "Percentage of GDP (using PPP exchange rates)", 90.5
"Advanced economies", "2010-Q2", "Percentage of GDP (using PPP exchange rates)", 93.1
"Advanced economies", "2010-Q3", "Percentage of GDP (using PPP exchange rates)", 94.7
"Advanced economies", "2010-Q4", "Percentage of GDP (using PPP exchange rates)", 94.6
"Advanced economies", "2011-Q1", "Percentage of GDP (using PPP exchange rates)", 95.3
"Advanced economies", "2011-Q2", "Percentage of GDP (using PPP exchange rates)", 96.3
"Advanced economies", "2011-Q3", "Percentage of GDP (using PPP exchange rates)", 99.8
"Advanced economies", "2011-Q4", "Percentage of GDP (using PPP exchange rates)", 100.9
"Advanced economies", "2012-Q1", "Percentage of GDP (using PPP exchange rates)", 102.9
"Advanced economies", "2012-Q2", "Percentage of GDP (using PPP exchange rates)", 104.8
"Advanced economies", "2012-Q3", "Percentage of GDP (using PPP exchange rates)", 105.6
"Advanced economies", "2012-Q4", "Percentage of GDP (using PPP exchange rates)", 106.6
"Advanced economies", "2013-Q1", "Percentage of GDP (using PPP exchange rates)", 108.5
"Advanced economies", "2013-Q2", "Percentage of GDP (using PPP exchange rates)", 106.5
"Advanced economies", "2013-Q3", "Percentage of GDP (using PPP exchange rates)", 105.8
"Advanced economies", "2013-Q4", "Percentage of GDP (using PPP exchange rates)", 106.1
"Advanced economies", "2014-Q1", "Percentage of GDP (using PPP exchange rates)", 107.8
"Advanced economies", "2014-Q2", "Percentage of GDP (using PPP exchange rates)", 108.5
"Advanced economies", "2014-Q3", "Percentage of GDP (using PPP exchange rates)", 108.7
"Advanced economies", "2014-Q4", "Percentage of GDP (using PPP exchange rates)", 110.7
"Advanced economies", "2015-Q1", "Percentage of GDP (using PPP exchange rates)", 111.7
"Advanced economies", "2015-Q2", "Percentage of GDP (using PPP exchange rates)", 108.4
"Advanced economies", "2015-Q3", "Percentage of GDP (using PPP exchange rates)", 108.5
"Advanced economies", "2015-Q4", "Percentage of GDP (using PPP exchange rates)", 109.2
"Advanced economies", "2016-Q1", "Percentage of GDP (using PPP exchange rates)", 112.2
"Advanced economies", "2016-Q2", "Percentage of GDP (using PPP exchange rates)", 113.8
"Advanced economies", "2016-Q3", "Percentage of GDP (using PPP exchange rates)", 113.3
"Advanced economies", "1999-Q1", "US Dollar", 17434.2
"Advanced economies", "1999-Q2", "US Dollar", 17082.7
"Advanced economies", "1999-Q3", "US Dollar", 17965.1
"Advanced economies", "1999-Q4", "US Dollar", 17892.5
"Advanced economies", "2000-Q1", "US Dollar", 17781.6
"Advanced economies", "2000-Q2", "US Dollar", 17605.1
"Advanced economies", "2000-Q3", "US Dollar", 16963.5
"Advanced economies", "2000-Q4", "US Dollar", 17214.0
"Advanced economies", "2001-Q1", "US Dollar", 16805.6
"Advanced economies", "2001-Q2", "US Dollar", 16560.3
"Advanced economies", "2001-Q3", "US Dollar", 17335.5
"Advanced economies", "2001-Q4", "US Dollar", 16731.3
"Advanced economies", "2002-Q1", "US Dollar", 16673.1
"Advanced economies", "2002-Q2", "US Dollar", 18483.7
"Advanced economies", "2002-Q3", "US Dollar", 18734.1
"Advanced economies", "2002-Q4", "US Dollar", 19431.0
"Advanced economies", "2003-Q1", "US Dollar", 20123.3
"Advanced economies", "2003-Q2", "US Dollar", 20953.9
"Advanced economies", "2003-Q3", "US Dollar", 21574.5
"Advanced economies", "2003-Q4", "US Dollar", 22636.2
"Advanced economies", "2004-Q1", "US Dollar", 24199.8
"Advanced economies", "2004-Q2", "US Dollar", 23848.2
"Advanced economies", "2004-Q3", "US Dollar", 24255.9
"Advanced economies", "2004-Q4", "US Dollar", 25939.0
"Advanced economies", "2005-Q1", "US Dollar", 25566.5
"Advanced economies", "2005-Q2", "US Dollar", 25203.0
"Advanced economies", "2005-Q3", "US Dollar", 24885.6
"Advanced economies", "2005-Q4", "US Dollar", 24529.0
"Advanced economies", "2006-Q1", "US Dollar", 24658.4
"Advanced economies", "2006-Q2", "US Dollar", 25142.8
"Advanced economies", "2006-Q3", "US Dollar", 25350.1
"Advanced economies", "2006-Q4", "US Dollar", 25673.8
"Advanced economies", "2007-Q1", "US Dollar", 26039.8
"Advanced economies", "2007-Q2", "US Dollar", 25673.8
"Advanced economies", "2007-Q3", "US Dollar", 27047.2
"Advanced economies", "2007-Q4", "US Dollar", 27968.5
"Advanced economies", "2008-Q1", "US Dollar", 30271.0
"Advanced economies", "2008-Q2", "US Dollar", 29462.3
"Advanced economies", "2008-Q3", "US Dollar", 29126.5
"Advanced economies", "2008-Q4", "US Dollar", 31568.9
"Advanced economies", "2009-Q1", "US Dollar", 31288.0
"Advanced economies", "2009-Q2", "US Dollar", 33119.3
"Advanced economies", "2009-Q3", "US Dollar", 35246.3
"Advanced economies", "2009-Q4", "US Dollar", 35316.6
"Advanced economies", "2010-Q1", "US Dollar", 35532.3
"Advanced economies", "2010-Q2", "US Dollar", 36306.8
"Advanced economies", "2010-Q3", "US Dollar", 39327.0
"Advanced economies", "2010-Q4", "US Dollar", 39734.6
"Advanced economies", "2011-Q1", "US Dollar", 40653.7
"Advanced economies", "2011-Q2", "US Dollar", 42035.8
"Advanced economies", "2011-Q3", "US Dollar", 43237.5
"Advanced economies", "2011-Q4", "US Dollar", 43501.9
"Advanced economies", "2012-Q1", "US Dollar", 44201.2
"Advanced economies", "2012-Q2", "US Dollar", 44849.6
"Advanced economies", "2012-Q3", "US Dollar", 46286.4
"Advanced economies", "2012-Q4", "US Dollar", 45984.2
"Advanced economies", "2013-Q1", "US Dollar", 45156.2
"Advanced economies", "2013-Q2", "US Dollar", 44313.1
"Advanced economies", "2013-Q3", "US Dollar", 45101.4
"Advanced economies", "2013-Q4", "US Dollar", 45221.4
"Advanced economies", "2014-Q1", "US Dollar", 46343.4
"Advanced economies", "2014-Q2", "US Dollar", 47230.3
"Advanced economies", "2014-Q3", "US Dollar", 45526.4
"Advanced economies", "2014-Q4", "US Dollar", 45250.3
"Advanced economies", "2015-Q1", "US Dollar", 44168.2
"Advanced economies", "2015-Q2", "US Dollar", 43770.5
"Advanced economies", "2015-Q3", "US Dollar", 44082.7
"Advanced economies", "2015-Q4", "US Dollar", 44239.0
"Advanced economies", "2016-Q1", "US Dollar", 46950.5
"Advanced economies", "2016-Q2", "US Dollar", 48356.5
"Advanced economies", "2016-Q3", "US Dollar", 48571.0
"Austria", "1999-Q1", "Percentage of GDP", 69.2
"Austria", "1999-Q2", "Percentage of GDP", 70.3
"Austria", "1999-Q3", "Percentage of GDP", 70.1
"Austria", "1999-Q4", "Percentage of GDP", 69.3
"Austria", "2000-Q1", "Percentage of GDP", 73.2
"Austria", "2000-Q2", "Percentage of GDP", 73.1
"Austria", "2000-Q3", "Percentage of GDP", 72.8
"Austria", "2000-Q4", "Percentage of GDP", 68.7
"Austria", "2001-Q1", "Percentage of GDP", 71.6
"Austria", "2001-Q2", "Percentage of GDP", 71.9
"Austria", "2001-Q3", "Percentage of GDP", 72.1
"Austria", "2001-Q4", "Percentage of GDP", 69.8
"Austria", "2002-Q1", "Percentage of GDP", 72.4
"Austria", "2002-Q2", "Percentage of GDP", 72.3
"Austria", "2002-Q3", "Percentage of GDP", 73.6
"Austria", "2002-Q4", "Percentage of GDP", 71.3
"Austria", "2003-Q1", "Percentage of GDP", 74.0
"Austria", "2003-Q2", "Percentage of GDP", 76.8
"Austria", "2003-Q3", "Percentage of GDP", 73.0
"Austria", "2003-Q4", "Percentage of GDP", 69.8
"Austria", "2004-Q1", "Percentage of GDP", 72.5
