country, quarter, unit, value$
"Advanced economies", "2016-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2016-Q3", "Percentage of GDP", 100.0
"Advanced economies", "1999-Q1", "Percentage of GDP (using PPP exchange rates)", 98.5357
"Advanced economies", "1999-Q2", "Percentage of GDP (using PPP exchange rates)", 100.096
"Advanced economies", "1999-Q3", "Percentage of GDP (using PPP exchange rates)", 95.6241
"Advanced economies", "1999-Q4", "Percentage of GDP (using PPP exchange rates)", 95.9634
"Advanced economies", "2000-Q1", "Percentage of GDP (using PPP exchange rates)", 97.7851
"Advanced economies", "2000-Q2", "Percentage of GDP (using PPP exchange rates)", 98.2045
"Advanced economies", "2000-Q3", "Percentage of GDP (using PPP exchange rates)", 100.595
"Advanced economies", "2000-Q4", "Percentage of GDP (using PPP exchange rates)", 98.6275
"Advanced economies", "2001-Q1", "Percentage of GDP (using PPP exchange rates)", 102.281
"Advanced economies", "2001-Q2", "Percentage of GDP (using PPP exchange rates)", 101.656
"Advanced economies", "2001-Q3", "Percentage of GDP (using PPP exchange rates)", 97.6612
"Advanced economies", "2001-Q4", "Percentage of GDP (using PPP exchange rates)", 100.334
"Advanced economies", "2002-Q1", "Percentage of GDP (using PPP exchange rates)", 100.245
"Advanced economies", "2002-Q2", "Percentage of GDP (using PPP exchange rates)", 93.5353
"Advanced economies", "2002-Q3", "Percentage of GDP (using PPP exchange rates)", 95.4598
"Advanced economies", "2002-Q4", "Percentage of GDP (using PPP exchange rates)", 93.9658
"Advanced economies", "2003-Q1", "Percentage of GDP (using PPP exchange rates)", 95.3651
"Advanced economies", "2003-Q2", "Percentage of GDP (using PPP exchange rates)", 95.7585
"Advanced economies", "2003-Q3", "Percentage of GDP (using PPP exchange rates)", 94.6185
"Advanced economies", "2003-Q4", "Percentage of GDP (using PPP exchange rates)", 92.7806
"Advanced economies", "2004-Q1", "Percentage of GDP (using PPP exchange rates)", 96.0537
"Advanced economies", "2004-Q2", "Percentage of GDP (using PPP exchange rates)", 98.2617
"Advanced economies", "2004-Q3", "Percentage of GDP (using PPP exchange rates)", 98.6662
"Advanced economies", "2004-Q4", "Percentage of GDP (using PPP exchange rates)", 94.3521
"Advanced economies", "2005-Q1", "Percentage of GDP (using PPP exchange rates)", 98.4782
"Advanced economies", "2005-Q2", "Percentage of GDP (using PPP exchange rates)", 102.288
"Advanced economies", "2005-Q3", "Percentage of GDP (using PPP exchange rates)", 102.534
"Advanced economies", "2005-Q4", "Percentage of GDP (using PPP exchange rates)", 102.689
"Advanced economies", "2006-Q1", "Percentage of GDP (using PPP exchange rates)", 101.397
"Advanced economies", "2006-Q2", "Percentage of GDP (using PPP exchange rates)", 98.2316
"Advanced economies", "2006-Q3", "Percentage of GDP (using PPP exchange rates)", 98.8825
"Advanced economies", "2006-Q4", "Percentage of GDP (using PPP exchange rates)", 98.0085
"Advanced economies", "2007-Q1", "Percentage of GDP (using PPP exchange rates)", 98.8453
"Advanced economies", "2007-Q2", "Percentage of GDP (using PPP exchange rates)", 98.9089
"Advanced economies", "2007-Q3", "Percentage of GDP (using PPP exchange rates)", 96.6078
"Advanced economies", "2007-Q4", "Percentage of GDP (using PPP exchange rates)", 96.4264
"Advanced economies", "2008-Q1", "Percentage of GDP (using PPP exchange rates)", 94.276
"Advanced economies", "2008-Q2", "Percentage of GDP (using PPP exchange rates)", 96.9063
"Advanced economies", "2008-Q3", "Percentage of GDP (using PPP exchange rates)", 102.8
"Advanced economies", "2008-Q4", "Percentage of GDP (using PPP exchange rates)", 102.597
"Advanced economies", "2009-Q1", "Percentage of GDP (using PPP exchange rates)", 104.038
"Advanced economies", "2009-Q2", "Percentage of GDP (using PPP exchange rates)", 97.8104
"Advanced economies", "2009-Q3", "Percentage of GDP (using PPP exchange rates)", 94.5801
"Advanced economies", "2009-Q4", "Percentage of GDP (using PPP exchange rates)", 97.1039
"Advanced economies", "2010-Q1", "Percentage of GDP (using PPP exchange rates)", 101.311
"Advanced economies", "2010-Q2", "Percentage of GDP (using PPP exchange rates)", 103.697
"Advanced economies", "2010-Q3", "Percentage of GDP (using PPP exchange rates)", 97.4863
"Advanced economies", "2010-Q4", "Percentage of GDP (using PPP exchange rates)", 97.1376
"Advanced economies", "2011-Q1", "Percentage of GDP (using PPP exchange rates)", 96.0798
"Advanced economies", "2011-Q2", "Percentage of GDP (using PPP exchange rates)", 96.4947
"Advanced economies", "2011-Q3", "Percentage of GDP (using PPP exchange rates)", 100.159
"Advanced economies", "2011-Q4", "Percentage of GDP (using PPP exchange rates)", 101.538
"Advanced economies", "2012-Q1", "Percentage of GDP (using PPP exchange rates)", 101.365
"Advanced economies", "2012-Q2", "Percentage of GDP (using PPP exchange rates)", 101.937
"Advanced economies", "2012-Q3", "Percentage of GDP (using PPP exchange rates)", 98.7599
"Advanced economies", "2012-Q4", "Percentage of GDP (using PPP exchange rates)", 99.4479
"Advanced economies", "2013-Q1", "Percentage of GDP (using PPP exchange rates)", 102.291
"Advanced economies", "2013-Q2", "Percentage of GDP (using PPP exchange rates)", 102.158
"Advanced economies", "2013-Q3", "Percentage of GDP (using PPP exchange rates)", 99.7571
"Advanced economies", "2013-Q4", "Percentage of GDP (using PPP exchange rates)", 99.6848
"Advanced economies", "2014-Q1", "Percentage of GDP (using PPP exchange rates)", 99.6013
"Advanced economies", "2014-Q2", "Percentage of GDP (using PPP exchange rates)", 99.63
"Advanced economies", "2014-Q3", "Percentage of GDP (using PPP exchange rates)", 104.259
"Advanced economies", "2014-Q4", "Percentage of GDP (using PPP exchange rates)", 106.108
"Advanced economies", "2015-Q1", "Percentage of GDP (using PPP exchange rates)", 108.723
"Advanced economies", "2015-Q2", "Percentage of GDP (using PPP exchange rates)", 104.114
"Advanced economies", "2015-Q3", "Percentage of GDP (using PPP exchange rates)", 102.297
"Advanced economies", "2015-Q4", "Percentage of GDP (using PPP exchange rates)", 101.717
"Advanced economies", "2016-Q1", "Percentage of GDP (using PPP exchange rates)", 98.7785
"Advanced economies", "2016-Q2", "Percentage of GDP (using PPP exchange rates)", 99.0197
"Advanced economies", "2016-Q3", "Percentage of GDP (using PPP exchange rates)", 99.0876
"Advanced economies", "1999-Q1", "US Dollar", 24261.1
"Advanced economies", "1999-Q2", "US Dollar", 24534.4
"Advanced economies", "1999-Q3", "US Dollar", 24888.5
"Advanced economies", "1999-Q4", "US Dollar", 25058.6
"Advanced economies", "2000-Q1", "US Dollar", 25219.8
"Advanced economies", "2000-Q2", "US Dollar", 25467.0
"Advanced economies", "2000-Q3", "US Dollar", 25534.6
"Advanced economies", "2000-Q4", "US Dollar", 25363.9
"Advanced economies", "2001-Q1", "US Dollar", 25317.7
"Advanced economies", "2001-Q2", "US Dollar", 25178.4
"Advanced economies", "2001-Q3", "US Dollar", 25131.0
"Advanced economies", "2001-Q4", "US Dollar", 25154.3
"Advanced economies", "2002-Q1", "US Dollar", 25060.7
"Advanced economies", "2002-Q2", "US Dollar", 25275.0
"Advanced economies", "2002-Q3", "US Dollar", 25741.7
"Advanced economies", "2002-Q4", "US Dollar", 26253.8
"Advanced economies", "2003-Q1", "US Dollar", 27063.0
"Advanced economies", "2003-Q2", "US Dollar", 27894.3
"Advanced economies", "2003-Q3", "US Dollar", 28544.3
"Advanced economies", "2003-Q4", "US Dollar", 29501.0
"Advanced economies", "2004-Q1", "US Dollar", 30512.1
"Advanced economies", "2004-Q2", "US Dollar", 31213.7
"Advanced economies", "2004-Q3", "US Dollar", 31964.7
"Advanced economies", "2004-Q4", "US Dollar", 32690.8
"Advanced economies", "2005-Q1", "US Dollar", 33270.3
"Advanced economies", "2005-Q2", "US Dollar", 33843.6
"Advanced economies", "2005-Q3", "US Dollar", 34257.8
"Advanced economies", "2005-Q4", "US Dollar", 34270.0
"Advanced economies", "2006-Q1", "US Dollar", 34292.0
"Advanced economies", "2006-Q2", "US Dollar", 34668.6
"Advanced economies", "2006-Q3", "US Dollar", 35203.5
"Advanced economies", "2006-Q4", "US Dollar", 35936.5
"Advanced economies", "2007-Q1", "US Dollar", 36691.3
"Advanced economies", "2007-Q2", "US Dollar", 37377.2
"Advanced economies", "2007-Q3", "US Dollar", 38166.1
"Advanced economies", "2007-Q4", "US Dollar", 39197.4
"Advanced economies", "2008-Q1", "US Dollar", 40308.7
"Advanced economies", "2008-Q2", "US Dollar", 41420.7
"Advanced economies", "2008-Q3", "US Dollar", 42041.7
"Advanced economies", "2008-Q4", "US Dollar", 41446.8
"Advanced economies", "2009-Q1", "US Dollar", 40317.5
"Advanced economies", "2009-Q2", "US Dollar", 39125.9
"Advanced economies", "2009-Q3", "US Dollar", 38573.0
"Advanced economies", "2009-Q4", "US Dollar", 39149.4
"Advanced economies", "2010-Q1", "US Dollar", 39829.7
"Advanced economies", "2010-Q2", "US Dollar", 40106.6
"Advanced economies", "2010-Q3", "US Dollar", 40306.1
"Advanced economies", "2010-Q4", "US Dollar", 40578.5
"Advanced economies", "2011-Q1", "US Dollar", 41134.4
"Advanced economies", "2011-Q2", "US Dollar", 42244.6
"Advanced economies", "2011-Q3", "US Dollar", 43145.4
"Advanced economies", "2011-Q4", "US Dollar", 43488.4
"Advanced economies", "2012-Q1", "US Dollar", 43712.1
"Advanced economies", "2012-Q2", "US Dollar", 43511.2
"Advanced economies", "2012-Q3", "US Dollar", 43250.6
"Advanced economies", "2012-Q4", "US Dollar", 43258.3
"Advanced economies", "2013-Q1", "US Dollar", 43236.4
"Advanced economies", "2013-Q2", "US Dollar", 43202.6
"Advanced economies", "2013-Q3", "US Dollar", 43282.0
"Advanced economies", "2013-Q4", "US Dollar", 43432.9
"Advanced economies", "2014-Q1", "US Dollar", 43705.7
"Advanced economies", "2014-Q2", "US Dollar", 44217.5
"Advanced economies", "2014-Q3", "US Dollar", 44541.1
"Advanced economies", "2014-Q4", "US Dollar", 44304.9
"Advanced economies", "2015-Q1", "US Dollar", 43608.0
"Advanced economies", "2015-Q2", "US Dollar", 42799.5
"Advanced economies", "2015-Q3", "US Dollar", 42069.3
"Advanced economies", "2015-Q4", "US Dollar", 41687.4
"Advanced economies", "2016-Q1", "US Dollar", 41778.3
"Advanced economies", "2016-Q2", "US Dollar", 42138.6
"Advanced economies", "2016-Q3", "US Dollar", 42541.7
"All reporting economies", "1999-Q1", "Percentage of GDP", 100.0
"All reporting economies", "1999-Q2", "Percentage of GDP", 100.0
"All reporting economies", "1999-Q3", "Percentage of GDP", 100.0
"All reporting economies", "1999-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2000-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2000-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2000-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2000-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2001-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2001-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2001-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2001-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2002-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2002-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2002-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2002-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2003-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2003-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2003-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2003-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2004-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2004-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2004-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2004-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2005-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2005-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2005-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2005-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2006-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2006-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2006-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2006-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2007-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2007-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2007-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2007-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2008-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2008-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2008-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2008-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2009-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2009-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2009-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2009-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2010-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2010-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2010-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2010-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2011-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2011-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2011-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2011-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2012-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2012-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2012-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2012-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2013-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2013-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2013-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2013-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2014-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2014-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2014-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2014-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2015-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2015-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2015-Q3", "Percentage of GDP", 100.0
"All reporting economies", "2015-Q4", "Percentage of GDP", 100.0
"All reporting economies", "2016-Q1", "Percentage of GDP", 100.0
"All reporting economies", "2016-Q2", "Percentage of GDP", 100.0
"All reporting economies", "2016-Q3", "Percentage of GDP", 100.0
"All reporting economies", "1999-Q1", "Percentage of GDP (using PPP exchange rates)", 87.3626
"All reporting economies", "1999-Q2", "Percentage of GDP (using PPP exchange rates)", 87.9051
"All reporting economies", "1999-Q3", "Percentage of GDP (using PPP exchange rates)", 84.697
"All reporting economies", "1999-Q4", "Percentage of GDP (using PPP exchange rates)", 84.6501
"All reporting economies", "2000-Q1", "Percentage of GDP (using PPP exchange rates)", 85.3659
"All reporting economies", "2000-Q2", "Percentage of GDP (using PPP exchange rates)", 85.9231
"All reporting economies", "2000-Q3", "Percentage of GDP (using PPP exchange rates)", 87.8336
"All reporting economies", "2000-Q4", "Percentage of GDP (using PPP exchange rates)", 86.913
"All reporting economies", "2001-Q1", "Percentage of GDP (using PPP exchange rates)", 89.1978
"All reporting economies", "2001-Q2", "Percentage of GDP (using PPP exchange rates)", 88.749
"All reporting economies", "2001-Q3", "Percentage of GDP (using PPP exchange rates)", 85.7358
"All reporting economies", "2001-Q4", "Percentage of GDP (using PPP exchange rates)", 90.1299
"All reporting economies", "2002-Q1", "Percentage of GDP (using PPP exchange rates)", 89.8685
"All reporting economies", "2002-Q2", "Percentage of GDP (using PPP exchange rates)", 84.7612
"All reporting economies", "2002-Q3", "Percentage of GDP (using PPP exchange rates)", 86.7865
"All reporting economies", "2002-Q4", "Percentage of GDP (using PPP exchange rates)", 85.0689
"All reporting economies", "2003-Q1", "Percentage of GDP (using PPP exchange rates)", 85.2471
"All reporting economies", "2003-Q2", "Percentage of GDP (using PPP exchange rates)", 85.0827
"All reporting economies", "2003-Q3", "Percentage of GDP (using PPP exchange rates)", 84.4455
"All reporting economies", "2003-Q4", "Percentage of GDP (using PPP exchange rates)", 83.0862
"All reporting economies", "2004-Q1", "Percentage of GDP (using PPP exchange rates)", 84.7592
"All reporting economies", "2004-Q2", "Percentage of GDP (using PPP exchange rates)", 86.8801
"All reporting economies", "2004-Q3", "Percentage of GDP (using PPP exchange rates)", 87.1733
"All reporting economies", "2004-Q4", "Percentage of GDP (using PPP exchange rates)", 83.4569
"All reporting economies", "2005-Q1", "Percentage of GDP (using PPP exchange rates)", 86.1384
"All reporting economies", "2005-Q2", "Percentage of GDP (using PPP exchange rates)", 89.1143
"All reporting economies", "2005-Q3", "Percentage of GDP (using PPP exchange rates)", 89.5802
"All reporting economies", "2005-Q4", "Percentage of GDP (using PPP exchange rates)", 90.1462
"All reporting economies", "2006-Q1", "Percentage of GDP (using PPP exchange rates)", 88.7457
"All reporting economies", "2006-Q2", "Percentage of GDP (using PPP exchange rates)", 86.8076
"All reporting economies", "2006-Q3", "Percentage of GDP (using PPP exchange rates)", 87.2834
"All reporting economies", "2006-Q4", "Percentage of GDP (using PPP exchange rates)", 86.573
"All reporting economies", "2007-Q1", "Percentage of GDP (using PPP exchange rates)", 86.5954
"All reporting economies", "2007-Q2", "Percentage of GDP (using PPP exchange rates)", 86.9883
"All reporting economies", "2007-Q3", "Percentage of GDP (using PPP exchange rates)", 85.4355
"All reporting economies", "2007-Q4", "Percentage of GDP (using PPP exchange rates)", 85.3416
"All reporting economies", "2008-Q1", "Percentage of GDP (using PPP exchange rates)", 82.6511
"All reporting economies", "2008-Q2", "Percentage of GDP (using PPP exchange rates)", 85.0707
"All reporting economies", "2008-Q3", "Percentage of GDP (using PPP exchange rates)", 90.7868
"All reporting economies", "2008-Q4", "Percentage of GDP (using PPP exchange rates)", 91.6206
"All reporting economies", "2009-Q1", "Percentage of GDP (using PPP exchange rates)", 92.6816
"All reporting economies", "2009-Q2", "Percentage of GDP (using PPP exchange rates)", 87.0039
"All reporting economies", "2009-Q3", "Percentage of GDP (using PPP exchange rates)", 83.8802
"All reporting economies", "2009-Q4", "Percentage of GDP (using PPP exchange rates)", 85.9089
"All reporting economies", "2010-Q1", "Percentage of GDP (using PPP exchange rates)", 88.2947
"All reporting economies", "2010-Q2", "Percentage of GDP (using PPP exchange rates)", 91.1765
"All reporting economies", "2010-Q3", "Percentage of GDP (using PPP exchange rates)", 86.9236
"All reporting economies", "2010-Q4", "Percentage of GDP (using PPP exchange rates)", 87.3361
"All reporting economies", "2011-Q1", "Percentage of GDP (using PPP exchange rates)", 85.6058
"All reporting economies", "2011-Q2", "Percentage of GDP (using PPP exchange rates)", 86.3417
"All reporting economies", "2011-Q3", "Percentage of GDP (using PPP exchange rates)", 90.4572
"All reporting economies", "2011-Q4", "Percentage of GDP (using PPP exchange rates)", 91.8607
"All reporting economies", "2012-Q1", "Percentage of GDP (using PPP exchange rates)", 90.8211
"All reporting economies", "2012-Q2", "Percentage of GDP (using PPP exchange rates)", 91.8966
"All reporting economies", "2012-Q3", "Percentage of GDP (using PPP exchange rates)", 89.23
"All reporting economies", "2012-Q4", "Percentage of GDP (using PPP exchange rates)", 90.0487
"All reporting economies", "2013-Q1", "Percentage of GDP (using PPP exchange rates)", 91.9319
"All reporting economies", "2013-Q2", "Percentage of GDP (using PPP exchange rates)", 92.8229
"All reporting economies", "2013-Q3", "Percentage of GDP (using PPP exchange rates)", 91.4454
"All reporting economies", "2013-Q4", "Percentage of GDP (using PPP exchange rates)", 91.5029
"All reporting economies", "2014-Q1", "Percentage of GDP (using PPP exchange rates)", 91.2891
"All reporting economies", "2014-Q2", "Percentage of GDP (using PPP exchange rates)", 90.9121
"All reporting economies", "2014-Q3", "Percentage of GDP (using PPP exchange rates)", 94.5784
"All reporting economies", "2014-Q4", "Percentage of GDP (using PPP exchange rates)", 96.5999
"All reporting economies", "2015-Q1", "Percentage of GDP (using PPP exchange rates)", 98.16
"All reporting economies", "2015-Q2", "Percentage of GDP (using PPP exchange rates)", 94.8137
"All reporting economies", "2015-Q3", "Percentage of GDP (using PPP exchange rates)", 94.3212
"All reporting economies", "2015-Q4", "Percentage of GDP (using PPP exchange rates)", 93.7266
"All reporting economies", "2016-Q1", "Percentage of GDP (using PPP exchange rates)", 90.4332
"All reporting economies", "2016-Q2", "Percentage of GDP (using PPP exchange rates)", 90.4512
"All reporting economies", "2016-Q3", "Percentage of GDP (using PPP exchange rates)", 90.4051
"All reporting economies", "1999-Q1", "US Dollar", 29731.3
"All reporting economies", "1999-Q2", "US Dollar", 29940.2
"All reporting economies", "1999-Q3", "US Dollar", 30299.3
"All reporting economies", "1999-Q4", "US Dollar", 30514.1
"All reporting economies", "2000-Q1", "US Dollar", 30838.4
"All reporting economies", "2000-Q2", "US Dollar", 31228.3
"All reporting economies", "2000-Q3", "US Dollar", 31436.9
"All reporting economies", "2000-Q4", "US Dollar", 31374.2
"All reporting economies", "2001-Q1", "US Dollar", 31360.5
"All reporting economies", "2001-Q2", "US Dollar", 31237.4
"All reporting economies", "2001-Q3", "US Dollar", 31179.3
"All reporting economies", "2001-Q4", "US Dollar", 31182.7
"All reporting economies", "2002-Q1", "US Dollar", 31088.7
"All reporting economies", "2002-Q2", "US Dollar", 31358.5
"All reporting economies", "2002-Q3", "US Dollar", 31882.4
"All reporting economies", "2002-Q4", "US Dollar", 32452.9
"All reporting economies", "2003-Q1", "US Dollar", 33385.2
"All reporting economies", "2003-Q2", "US Dollar", 34366.1
"All reporting economies", "2003-Q3", "US Dollar", 35231.1
"All reporting economies", "2003-Q4", "US Dollar", 36463.3
"All reporting economies", "2004-Q1", "US Dollar", 37804.1
"All reporting economies", "2004-Q2", "US Dollar", 38785.3
"All reporting economies", "2004-Q3", "US Dollar", 39822.7
"All reporting economies", "2004-Q4", "US Dollar", 40896.5
"All reporting economies", "2005-Q1", "US Dollar", 41829.7
"All reporting economies", "2005-Q2", "US Dollar", 42798.9
"All reporting economies", "2005-Q3", "US Dollar", 43618.7
"All reporting economies", "2005-Q4", "US Dollar", 44028.4
"All reporting economies", "2006-Q1", "US Dollar", 44435.6
"All reporting economies", "2006-Q2", "US Dollar", 45237.1
"All reporting economies", "2006-Q3", "US Dollar", 46182.4
"All reporting economies", "2006-Q4", "US Dollar", 47354.3
"All reporting economies", "2007-Q1", "US Dollar", 48580.6
"All reporting economies", "2007-Q2", "US Dollar", 49874.9
"All reporting economies", "2007-Q3", "US Dollar", 51317.6
"All reporting economies", "2007-Q4", "US Dollar", 53163.6
"All reporting economies", "2008-Q1", "US Dollar", 55149.5
"All reporting economies", "2008-Q2", "US Dollar", 57177.8
"All reporting economies", "2008-Q3", "US Dollar", 58628.2
"All reporting economies", "2008-Q4", "US Dollar", 57947.3
"All reporting economies", "2009-Q1", "US Dollar", 56239.5
"All reporting economies", "2009-Q2", "US Dollar", 54549.4
"All reporting economies", "2009-Q3", "US Dollar", 53678.3
"All reporting economies", "2009-Q4", "US Dollar", 54869.5
"All reporting economies", "2010-Q1", "US Dollar", 56539.8
"All reporting economies", "2010-Q2", "US Dollar", 57663.1
"All reporting economies", "2010-Q3", "US Dollar", 58633.5
"All reporting economies", "2010-Q4", "US Dollar", 59716.5
"All reporting economies", "2011-Q1", "US Dollar", 61188.3
