country, value, units, quarter, value$
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2009-Q4", -1.91
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2010-Q1", -0.08
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2010-Q2", 0.57
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2010-Q3", -0.54
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2010-Q4", -1.67
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2011-Q1", -2.91
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2011-Q2", -3.81
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2011-Q3", -3.11
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2011-Q4", -3.12
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2012-Q1", -2.03
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2012-Q2", -0.53
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2012-Q3", -0.11
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2012-Q4", 1.1
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2013-Q1", 1.82
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2013-Q2", 2.65
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2013-Q3", 3.21
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2013-Q4", 3.62
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2014-Q1", 3.61
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2014-Q2", 2.39
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2014-Q3", 2.27
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2014-Q4", 2.44
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2015-Q1", 3.58
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2015-Q2", 3.9
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2015-Q3", 4.07
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2015-Q4", 3.89
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2016-Q1", 3.83
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2016-Q2", 4.27
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2016-Q3", 4.34
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2003-Q1", 57.69
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2003-Q2", 56.88
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2003-Q3", 55.38
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2003-Q4", 56.77
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2004-Q1", 62.75
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2004-Q2", 65.98
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2004-Q3", 68.28
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2004-Q4", 71.16
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2005-Q1", 72.54
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2005-Q2", 73.57
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2005-Q3", 74.73
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2005-Q4", 75.31
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2006-Q1", 80.72
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2006-Q2", 83.7
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2006-Q3", 90.73
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2006-Q4", 90.96
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2007-Q1", 98.56
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2007-Q2", 104.78
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2007-Q3", 114.22
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2007-Q4", 125.51
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2008-Q1", 137.13
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2008-Q2", 146.92
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2008-Q3", 148.88
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2008-Q4", 137.13
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2009-Q1", 124.81
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2009-Q2", 116.4
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2009-Q3", 112.03
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2009-Q4", 110.19
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2010-Q1", 104.89
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2010-Q2", 101.2
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2010-Q3", 98.1
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2010-Q4", 95.8
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2011-Q1", 96.14
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2011-Q2", 96.14
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2011-Q3", 97.76
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2011-Q4", 100.18
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2012-Q1", 102.02
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2012-Q2", 107.19
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2012-Q3", 111.69
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2012-Q4", 117.1
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2013-Q1", 119.13
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2013-Q2", 124.7
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2013-Q3", 133.79
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2013-Q4", 144.95
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2014-Q1", 159.64
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2014-Q2", 169.82
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2014-Q3", 170.33
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2014-Q4", 168.87
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2015-Q1", 162.0
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2015-Q2", 156.24
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2015-Q3", 152.6
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2015-Q4", 150.25
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2016-Q1", 149.1
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2016-Q2", 150.25
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2016-Q3", 149.9
"United Arab Emirates", "Nominal", "Index, 2010 = 100", "2016-Q4", 149.63
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2004-Q1", 8.77
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2004-Q2", 16.01
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2004-Q3", 23.3
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2004-Q4", 25.34
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2005-Q1", 15.6
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2005-Q2", 11.51
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2005-Q3", 9.45
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2005-Q4", 5.83
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2006-Q1", 11.28
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2006-Q2", 13.77
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2006-Q3", 21.41
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2006-Q4", 20.78
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2007-Q1", 22.1
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2007-Q2", 25.18
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2007-Q3", 25.89
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2007-Q4", 37.99
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2008-Q1", 39.14
"United Arab Emirates", "Nominal", "Year-on-year changes, in per cent", "2008-Q2", 40.22
